,Unnamed: 0,Club,League,Value Aug 1 of Year,Season,cleaned_new_club,longest_word_team
0,1,Manchester City,Premier League,1160000000.0,2023/ 2024,manchester city,m manchester c
1,2,Arsenal FC,Premier League,1210000000.0,2023/ 2024,arsenal,a arsenal a
2,3,Chelsea FC,Premier League,879500000.0,2023/ 2024,chelsea,c chelsea c
3,4,Liverpool FC,Premier League,794800000.0,2023/ 2024,liverpool,l liverpool l
4,5,Tottenham Hotspur,Premier League,773300000.0,2023/ 2024,tottenham hotspur,t tottenham h
5,6,Manchester United,Premier League,847100000.0,2023/ 2024,manchester united,m manchester u
6,7,Newcastle United,Premier League,575800000.0,2023/ 2024,newcastle united,n newcastle u
7,8,Aston Villa,Premier League,588500000.0,2023/ 2024,aston villa,a aston v
8,9,Brighton & Hove Albion,Premier League,464900000.0,2023/ 2024,brighton  hove albion,b brighton a
9,10,West Ham United,Premier League,362900000.0,2023/ 2024,west ham united,w united u
10,11,Brentford FC,Premier League,393800000.0,2023/ 2024,brentford,b brentford b
11,12,Wolverhampton Wanderers,Premier League,358180000.0,2023/ 2024,wolverhampton wanderers,w wolverhampton w
12,13,Crystal Palace,Premier League,299450000.0,2023/ 2024,crystal palace,c crystal p
13,14,AFC Bournemouth,Premier League,272500000.0,2023/ 2024,bournemouth,b bournemouth b
14,15,Nottingham Forest,Premier League,335480000.0,2023/ 2024,nottingham forest,n nottingham f
15,16,Everton FC,Premier League,365150000.0,2023/ 2024,everton,e everton e
16,17,Fulham FC,Premier League,264000000.0,2023/ 2024,fulham,f fulham f
17,18,Southampton FC,Championship,380700000.0,2023/ 2024,southampton,s southampton s
18,19,Leicester City,Championship,292750000.0,2023/ 2024,leicester city,l leicester c
19,20,Ipswich Town,Championship,19180000.0,2023/ 2024,ipswich town,i ipswich t
20,1,Manchester City,Premier League,1020000000.0,2022/ 2023,manchester city,m manchester c
21,2,Arsenal FC,Premier League,706700000.0,2022/ 2023,arsenal,a arsenal a
22,3,Chelsea FC,Premier League,834700000.0,2022/ 2023,chelsea,c chelsea c
23,4,Liverpool FC,Premier League,870000000.0,2022/ 2023,liverpool,l liverpool l
24,5,Tottenham Hotspur,Premier League,757300000.0,2022/ 2023,tottenham hotspur,t tottenham h
25,6,Manchester United,Premier League,726800000.0,2022/ 2023,manchester united,m manchester u
26,7,Newcastle United,Premier League,333600000.0,2022/ 2023,newcastle united,n newcastle u
27,8,Aston Villa,Premier League,508100000.0,2022/ 2023,aston villa,a aston v
28,9,Brighton & Hove Albion,Premier League,279700000.0,2022/ 2023,brighton  hove albion,b brighton a
29,10,West Ham United,Premier League,384000000.0,2022/ 2023,west ham united,w united u
30,11,Brentford FC,Premier League,278450000.0,2022/ 2023,brentford,b brentford b
31,12,Wolverhampton Wanderers,Premier League,335950000.0,2022/ 2023,wolverhampton wanderers,w wolverhampton w
32,13,Crystal Palace,Premier League,274800000.0,2022/ 2023,crystal palace,c crystal p
33,14,AFC Bournemouth,Premier League,135900000.0,2022/ 2023,bournemouth,b bournemouth b
34,15,Nottingham Forest,Premier League,160000000.0,2022/ 2023,nottingham forest,n nottingham f
35,16,Everton FC,Premier League,380700000.0,2022/ 2023,everton,e everton e
36,17,Fulham FC,Premier League,178500000.0,2022/ 2023,fulham,f fulham f
37,18,Southampton FC,Premier League,273250000.0,2022/ 2023,southampton,s southampton s
38,19,Leicester City,Premier League,513500000.0,2022/ 2023,leicester city,l leicester c
40,1,Manchester City,Premier League,1000000000.0,2021/ 2022,manchester city,m manchester c
41,2,Arsenal FC,Premier League,553000000.0,2021/ 2022,arsenal,a arsenal a
42,3,Chelsea FC,Premier League,896500000.0,2021/ 2022,chelsea,c chelsea c
43,4,Liverpool FC,Premier League,904500000.0,2021/ 2022,liverpool,l liverpool l
44,5,Tottenham Hotspur,Premier League,672000000.0,2021/ 2022,tottenham hotspur,t tottenham h
45,6,Manchester United,Premier League,872250000.0,2021/ 2022,manchester united,m manchester u
46,7,Newcastle United,Premier League,232900000.0,2021/ 2022,newcastle united,n newcastle u
47,8,Aston Villa,Premier League,429300000.0,2021/ 2022,aston villa,a aston v
48,9,Brighton & Hove Albion,Premier League,251100000.0,2021/ 2022,brighton  hove albion,b brighton a
49,10,West Ham United,Premier League,284750000.0,2021/ 2022,west ham united,w united u
50,11,Brentford FC,Premier League,153550000.0,2021/ 2022,brentford,b brentford b
51,12,Wolverhampton Wanderers,Premier League,410250000.0,2021/ 2022,wolverhampton wanderers,w wolverhampton w
52,13,Crystal Palace,Premier League,212450000.0,2021/ 2022,crystal palace,c crystal p
53,14,AFC Bournemouth,Championship,116900000.0,2021/ 2022,bournemouth,b bournemouth b
54,15,Nottingham Forest,Championship,35650000.0,2021/ 2022,nottingham forest,n nottingham f
55,16,Everton FC,Premier League,495500000.0,2021/ 2022,everton,e everton e
56,17,Fulham FC,Championship,165050000.0,2021/ 2022,fulham,f fulham f
57,18,Southampton FC,Premier League,252400000.0,2021/ 2022,southampton,s southampton s
58,19,Leicester City,Premier League,549100000.0,2021/ 2022,leicester city,l leicester c
60,1,Manchester City,Premier League,1030000000.0,2020/ 2021,manchester city,m manchester c
61,2,Arsenal FC,Premier League,571850000.0,2020/ 2021,arsenal,a arsenal a
62,3,Chelsea FC,Premier League,830950000.0,2020/ 2021,chelsea,c chelsea c
63,4,Liverpool FC,Premier League,1020000000.0,2020/ 2021,liverpool,l liverpool l
64,5,Tottenham Hotspur,Premier League,698350000.0,2020/ 2021,tottenham hotspur,t tottenham h
65,6,Manchester United,Premier League,728680000.0,2020/ 2021,manchester united,m manchester u
66,7,Newcastle United,Premier League,222300000.0,2020/ 2021,newcastle united,n newcastle u
67,8,Aston Villa,Premier League,234500000.0,2020/ 2021,aston villa,a aston v
68,9,Brighton & Hove Albion,Premier League,234200000.0,2020/ 2021,brighton  hove albion,b brighton a
69,10,West Ham United,Premier League,306250000.0,2020/ 2021,west ham united,w united u
70,11,Brentford FC,Championship,69930000.0,2020/ 2021,brentford,b brentford b
71,12,Wolverhampton Wanderers,Premier League,342300000.0,2020/ 2021,wolverhampton wanderers,w wolverhampton w
72,13,Crystal Palace,Premier League,179430000.0,2020/ 2021,crystal palace,c crystal p
73,14,AFC Bournemouth,Premier League,221880000.0,2020/ 2021,bournemouth,b bournemouth b
74,15,Nottingham Forest,Championship,49100000.0,2020/ 2021,nottingham forest,n nottingham f
75,16,Everton FC,Premier League,412400000.0,2020/ 2021,everton,e everton e
76,17,Fulham FC,Championship,120900000.0,2020/ 2021,fulham,f fulham f
77,18,Southampton FC,Premier League,213400000.0,2020/ 2021,southampton,s southampton s
78,19,Leicester City,Premier League,450500000.0,2020/ 2021,leicester city,l leicester c
80,1,Manchester City,Premier League,1240000000.0,2019/ 2020,manchester city,m manchester c
81,2,Arsenal FC,Premier League,610750000.0,2019/ 2020,arsenal,a arsenal a
82,3,Chelsea FC,Premier League,863750000.0,2019/ 2020,chelsea,c chelsea c
83,4,Liverpool FC,Premier League,1080000000.0,2019/ 2020,liverpool,l liverpool l
84,5,Tottenham Hotspur,Premier League,904000000.0,2019/ 2020,tottenham hotspur,t tottenham h
85,6,Manchester United,Premier League,801100000.0,2019/ 2020,manchester united,m manchester u
86,7,Newcastle United,Premier League,218580000.0,2019/ 2020,newcastle united,n newcastle u
87,8,Aston Villa,Premier League,156500000.0,2019/ 2020,aston villa,a aston v
88,9,Brighton & Hove Albion,Premier League,188450000.0,2019/ 2020,brighton  hove albion,b brighton a
89,10,West Ham United,Premier League,344750000.0,2019/ 2020,west ham united,w united u
90,11,Brentford FC,Championship,56450000.0,2019/ 2020,brentford,b brentford b
91,12,Wolverhampton Wanderers,Premier League,310400000.0,2019/ 2020,wolverhampton wanderers,w wolverhampton w
92,13,Crystal Palace,Premier League,215700000.0,2019/ 2020,crystal palace,c crystal p
93,14,AFC Bournemouth,Premier League,299000000.0,2019/ 2020,bournemouth,b bournemouth b
